Entidad,RUC,original_address,formatted_address,lat,lng,confidence
INSTITUTO VIAL PROVINCIAL MUNICIPAL DE MOYOBAMBA,PE-RUC  20450299643,PERU SAN MARTIN JR. DOS MAYO N° 395 - MOYOBAMBA,"Moyobamba, Peru",-6.0419882,-76.97006689999999,APPROXIMATE
GOBIERNO REGIONAL DE PIURA - UNIDAD DE GESTION EDUCATIVA LOCAL DE TALARA,PE-RUC  20484249882,PERU PIURA CAL. AVIACION NRO. 0195 URB. BARRIO PARTICULAR (ESPALDAS DE BANCO DE LA NACION) PIURA - TALARA - PARIÑAS,"Av. Aviación 195, Talara 20811, Peru",-4.5742902,-81.2683229,RANGE_INTERPOLATED
INSTITUTO VIAL PROVINCIAL DE ANDAHUAYLAS,PE-RUC  20450539547,PERU APURIMAC JR. CONSTITUCION Nº 626 ANDAHUAYLAS,"Jr Constitución 626, Andahuaylas 03701, Peru",-13.6560845,-73.38996449999999,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE ALTO NANAY,PE-RUC  20177730204,PERU LORETO PABLO MELENDEZ INT.4,"Loreto, Peru",-4.232472899999999,-74.21793260000001,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE CUJILLO,PE-RUC  20201571350,PERU CAJAMARCA CALLE CUTERVO S/N,"Cutervo, Cajamarca 06002, Peru",-7.1621056,-78.5086388,GEOMETRIC_CENTER
INSTITUTO VIAL PROVINCIAL MUNICIPAL DE ANGARAES,PE-RUC  20487345882,PERU HUANCAVELICA JR. LIMA Nº 274,"Jr. Lima 274, Pampas 09156, Peru",-12.3969048,-74.8693268,RANGE_INTERPOLATED
INSTITUTO DE VIALIDAD MUNICIPAL DE LA PROVINCIA DE CAJABAMBA,PE-RUC  20453799493,PERU CAJAMARCA Jr. Alfonso Ugarte Nro. 620 Pblo. Cajabamba - CAJAMARCA,"Jr. Alfonso Ugarte 620, Cajamarca 06003, Peru",-7.171662299999999,-78.50977999999999,ROOFTOP
MUNICIPALIDAD DISTRITAL DE HUAYLLATI,PE-RUC  20175827634,PERU APURIMAC PLAZA DE ARMAS,"Apurimac, Peru",-14.0504533,-73.087749,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE POMACOCHA - ACOBAMBA,PE-RUC  20190174787,PERU HUANCAVELICA PLAZA PRINCIPAL S/N,"Huancavelica 09001, Peru",-12.7861978,-74.9764024,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE CABANILLA,PE-RUC  20204082511,PERU PUNO PLAZA DE ARMAS S/N - CABANILLA,"Plaza Mayor de Puno, Jr. Deustua 458, Puno 21001, Peru",-15.8405816,-70.0279072,ROOFTOP
MUNICIPALIDAD DISTRITAL DE MORCOLLA,PE-RUC  20224547812,PERU AYACUCHO PLAZA PRINCIPAL S/N - MORCOLLA,"Morcolla, 05455, Peru",-14.1659613,-73.77132,APPROXIMATE
INSTITUTO VIAL PROVINCIAL MUNICIPAL DE HUAYLAS,PE-RUC  20407848889,PERU ANCASH Jr. San Martin 1121 - Caraz- Huaylas - Ancash,"San Martin 1121, Caraz 02167, Peru",-9.0480267,-77.8103363,ROOFTOP
MUNICIPALIDAD DISTRITAL DE SAN FERNANDO,PE-RUC  20148170852,PERU SAN MARTIN AV. GRAU S/N,"Via Stura, 1, 10173 Ciriè TO, Italy",45.213902,7.588852299999999,ROOFTOP
INSTITUTO VIAL PROVINCIAL DE HUALGAYOC BAMBAMARCA,PE-RUC  20496166605,PERU CAJAMARCA MIGUEL GRAU,"Miguel Grau, Cajamarca 06002, Peru",-7.1560518,-78.5111916,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE COLCA - VICTOR FAJARDO,PE-RUC  20214723108,PERU AYACUCHO PLAZA PRINCIPAL,"Plaza de Armas of Ayacucho, Andahuaylas 05003, Peru",-13.1603573,-74.2258109,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE CHINCHIHUASI,PE-RUC  20287884011,PERU HUANCAVELICA AV. 25 DE JULIO S/N RADIO URBANO DEL DISTRITO DE CHINCHIHUASI,"Chinchihuasi, Peru",-12.4251035,-74.5697617,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE HABANA,PE-RUC  20221631677,PERU SAN MARTIN JR. BOLIVAR Nº300,"Jirón Bolivar, Trujillo 13001, Peru",-8.1114021,-79.0258844,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE LA CAPILLA,PE-RUC  20285766681,PERU MOQUEGUA PLAZA PRINCIPAL,"Moquegua, Peru",-17.1882694,-70.93179500000001,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE TAPAY,PE-RUC  20207864260,PERU AREQUIPA PLAZA DE ARMAS,"Pl. de Armas, Arequipa 04001, Peru",-16.3992342,-71.5370862,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE CHACAPAMPA,PE-RUC  20281982568,PERU JUNIN PLAZA PRINCIPAL S/N - CHACAPAMPA,"Chacapampa, 12440, Peru",-12.4307451,-75.2595731,APPROXIMATE
