Entidad,RUC,original_address,formatted_address,lat,lng,confidence
EMPRESA NACIONAL DE COMERCIALIZACION DE INSUMOS S.A. EN LIQUIDACION,PE-RUC  20100110312,NO DISPONIBLE,,,,NOT_FOUND
SOCIEDAD PARAMONGA LIMITADA S.A. EN LIQUIDACION,PE-RUC  20100185001,NO DISPONIBLE,,,,NOT_FOUND
ESTACION EXPERIMENTAL SAN ROQUE,PE-RUC  20318371548,NO DISPONIBLE,,,,NOT_FOUND
EMPRESA DE TRANSMISION ELECTRICA DEL SUR S.A. EN LIQUIDACION,PE-RUC  20216293321,NO DISPONIBLE,,,,NOT_FOUND
ESTACION EXPERIMENTAL PUCALLPA,PE-RUC  20173752459,NO DISPONIBLE,,,,NOT_FOUND
ESTACION EXPERIMENTAL ANDENES,PE-RUC  20205016261,NO DISPONIBLE,,,,NOT_FOUND
PERUINVEST COMPAÑIA DE FOMENTO E INVERSIONES S.A. EN LIQUIDACION,PE-RUC  20100100046,PERUINVEST COMPAÑIA DE FOMENTO E INVERSIONES S.A. EN LIQUIDACION PE-RUC 20100100046,Peru,-9.189967,-75.015152,APPROXIMATE
PROYECTO FONER  UNIDAD EJECUTORA NO.03 DEL   MINISTERIO DE ENERGIA Y MINAS,PE-RUC  20512385673,NO DISPONIBLE,,,,NOT_FOUND
CONSEJO NACIONAL DEL AMBIENTE,PE-RUC  20293543161,NO DISPONIBLE,,,,NOT_FOUND
SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL,PE-RUC  20131376503,NO DISPONIBLE,,,,NOT_FOUND
GOBIERNO REGIONAL DE HUANCAVELICA-EDUCACIÓN CASTROVIRREYNA HUAYTARÁ,PE-RUC  20452323100,NO DISPONIBLE,,,,NOT_FOUND
SOCIEDAD DE BENEFICENCIA PUBLICA DE APLAO,PE-RUC  20312631823,NO DISPONIBLE,,,,NOT_FOUND
EMPRESA ALMACENES GENERALES DE DEPOSITO KOLKANDINA S.A. EN LIQUIDACION,PE-RUC  20100270391,NO DISPONIBLE,,,,NOT_FOUND
