Entidad,RUC,original_address,formatted_address,lat,lng,confidence
EMPRESA DE SERVICIO PUBLICO DE ELECTRICIDAD DEL NOR OESTE DEL PERU S.A. ELECTRO NOR OESTE SA,PE-RUC  20102708394,PERU PIURA CALLE CALLAO Nº 875 PIURA,"Jr. Callao 875, Piura 20001, Peru",-5.193922499999999,-80.6301149,ROOFTOP
MUNICIPALIDAD DISTRITAL DE CONDEBAMBA,PE-RUC  20199984871,PERU CAJAMARCA AV. CAJAMARCA Nº 394 - CAUDAY,"Av. Cajamarca 394, San Marcos 06320, Peru",-7.334701899999999,-78.16444190000001,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE SAN ANTONIO - HUAROCHIRI,PE-RUC  20217254125,PERU LIMA OVALO CENTRAL MZ. N-1 LOTE 16 ANEXO 8 CERRO CAMOTE - JICAMARCA,"LOTE 16, Ca. 6 1, Lima 15011, Peru",-12.0383905,-76.95736339999999,ROOFTOP
GOBIERNO REGIONAL DE ANCASH-EDUCACION USE HUARI,PE-RUC  20175865994,PERU ANCASH AV.   MAGISTERIAL 195 HUARI,"Avenida Magisterial 195, Huari 02304, Peru",-9.3498988,-77.17316919999999,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE CHUCA,PE-RUC  20192420998,PERU LA LIBERTAD SAN MARTIN No 6,Peru,-9.189967,-75.015152,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE USICAYOS,PE-RUC  20204176681,PERU PUNO PLAZA LIBERTAD S/N,"Libertad, Puno, Peru",-15.839614,-70.0313746,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE HUAROCONDO,PE-RUC  20165711727,PERU CUSCO PLAZA DE ARMAS,"Plaza de Armas de Cusco, Del Medio 123, Cusco 08000, Peru",-13.5167681,-71.9787795,ROOFTOP
MUNICIPALIDAD DISTRITAL DE CAMPORREDONDO,PE-RUC  20166763143,PERU AMAZONAS JR.SANTOS CHOCANO NO 194,"Jr. Jose Santos Chocano 194, Lonya Grande 01556, Peru",-6.095460699999999,-78.42356509999999,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE SANTA LUCÍA,PE-RUC  20450119769,PERU SAN MARTIN JR. LOS NOGALES N° 310,Peru,-9.189967,-75.015152,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO,PE-RUC  20288774553,PERU APURIMAC PLAZA DE ARMAS S/N CHALLHUAHUACHO,"Challhuahuacho, Peru",-14.1187849,-72.2475967,APPROXIMATE
