Entidad,RUC,original_address,formatted_address,lat,lng,confidence
FONDO NACIONAL DE DESARROLLO PESQUERO,PE-RUC  20137921601,PERU LIMA AV.  PETIT THOUARS 115-117,"Av. Petit Thouars 115, Lima 15046, Peru",-12.0643358,-77.035975,ROOFTOP
UNIDAD DE GESTIÓN DE APOYO AL DESARROLLO SOSTENIBLE DEL VRAEM,PE-RUC  20604496021,PERU CUSCO ANDRES A CACERES 373,"C. Andrés Avelino Cáceres 373, Cusco 08006, Peru",-13.5432656,-71.8905411,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE RAZURI,PE-RUC  20178843282,PERU LA LIBERTAD PASAJE LIMA Nº602,"Lima, Peru",-12.0466888,-77.04308859999999,APPROXIMATE
GOBIERNO REGIONAL DE AMAZONAS - DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES,PE-RUC  20392327747,PERU AMAZONAS KM. 01 CARRETERA CHACHAPOYAS A RODRIGUEZ DE MENDOZA,"Chachapoyas, Peru",-6.230154700000001,-77.87084779999999,APPROXIMATE
GOBIERNO REGIONAL DE LA LIBERTAD - INST.REG.DE ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA,PE-RUC  20481755621,PERU LA LIBERTAD CARRETERA PANAMERICANA NORTE KM. 558,"Au. Panamericana Nte. Km. 558, Trujillo 13001, Peru",-8.137861299999999,-79.0177149,ROOFTOP
MUNICIPALIDAD PROVINCIAL DE MARISCAL RAMON CASTILLA,PE-RUC  20280417131,PERU LORETO AYACUCHO NO 212,"Ayacucho, Peru",-13.1638737,-74.22356409999999,APPROXIMATE
DIRECCION REGIONAL AGRARIA CAJAMARCA,PE-RUC  20453743862,PERU CAJAMARCA BAÑOS DEL INCA CAJAMARCA KM 3,"Baños del Inca, Cajamarca 06002, Peru",-7.1602116,-78.508696,GEOMETRIC_CENTER
REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL,PE-RUC  20295613620,PERU LIMA JR. BOLIVIA Nº 109 - TORRE CENTRO CIVICO,"Av. Bolivia 109, Lima 15001, Peru",-12.0562037,-77.03710439999999,ROOFTOP
DIRECCION GENERAL DE ELECTRIFICACION RURAL DEL MINISTERIO DE ENERGÍA Y MINAS,PE-RUC  20517754499,"PERU LIMA AV. LAS ARTES SUR Nº 260, TERCER PISO -  SAN BORJA - LIMA","Av. de las Artes Sur 260, San Borja 15036, Peru",-12.0968738,-77.00636460000001,ROOFTOP
BANCO DE LA NACION,PE-RUC  20100030595,PERU LIMA AV. REPÚBLICA DE PANAMÁ 3664,"Edificio Banex, Av. República de Panamá 3664, Lima 15047, Peru",-12.10093,-77.0194277,ROOFTOP
EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,PE-RUC  20116544289,PERU CUSCO MARISCAL SUCRE Nº 400 URB. BANCOPATA,"Av. Jose Antonio de Sucre 400, Cusco 08007, Peru",-13.532017,-71.9709531,ROOFTOP
GOBIERNO REGIONAL DE CAJAMARCA - GERENCIA SUB REGIONAL JAEN,PE-RUC  20368807916,PERU CAJAMARCA CALLE TAHUANTINSUYO 765,"Tahuantinsuyo 765, Cajamarca 06003, Peru",-7.179401599999999,-78.5028246,RANGE_INTERPOLATED
ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA,PE-RUC  20147797011,PERU TACNA PANAMERICANA SUR KM. 1308,"Ctra. Panamericana Sur Km. 1308, Tacna 23004, Peru",-18.0800861,-70.2970148,ROOFTOP
UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,PE-RUC  20145561095,PERU JUNIN AV. MARISCAL CASTILLA Nº 3909-4089 CIUDAD UNIVERSITARIA,"Av. Mariscal Castilla 3909, Huancayo 12006, Peru",-12.0334526,-75.2384259,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,PE-RUC  20170422971,PERU AREQUIPA AV. SIMON BOLIVAR Nº 908 MARIANO MELGAR,"Av. Simón Bolivar 908, Mariano Melgar 04006, Peru",-16.4032892,-71.5090101,ROOFTOP
JEFATURA DE LA X DIRECCION TERRITORIAL POLICIAL - DIRTEPOL DEL CUSCO,PE-RUC  20399728241,PERU CUSCO PLAZA TUPAC AMARU S/N,"F2GM+VCJ Plaza Túpac Amaru, Cusco 08002, Peru",-13.522776,-71.9664765,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE TACNA - PROYECTO ESPECIAL AFIANZAMIENTO Y AMPLIACION RECURSOS HIDRICOS DE TACNA,PE-RUC  20170639520,PERU TACNA AV. MANUEL  A.  ODRIA (VILLA PANAMERICANA) Nº 1245 - TACNA,"Av. Manuel A. Odría, Tarma 23006, Peru",-18.0274095,-70.2623752,GEOMETRIC_CENTER
UNIVERSIDAD NACIONAL DEL CALLAO,PE-RUC  20138705944,PERU LIMA AV. SAENZ PEÑA  1060 - 1066 CALLAO,"Av Saenz Peña 1060, Callao 07021, Peru",-12.0597669,-77.1334928,ROOFTOP
MUNICIPALIDAD PROVINCIAL DE HUAYLAS - CARAZ,PE-RUC  20146925767,PERU ANCASH JR. SAN MARTIN NO 1121 - CARAZ,"San Martin 1121, Caraz 02167, Peru",-9.0480267,-77.8103363,ROOFTOP
SERVICIO DE ADMINISTRACION TRIBUTARIA DE LIMA,PE-RUC  20337101276,PERU LIMA JR CAMANÁ Nº 370 CERCADO DE LIMA,"Jr. Camaná 370, Lima 15001, Peru",-12.0460251,-77.03283499999999,ROOFTOP
PROGRAMA NACIONAL CUNA MAS,PE-RUC  20546537782,PERU LIMA AV. SAN MARTIN NRO. 685 LIMA - LIMA - PUEBLO LIBRE (MAGDALENA VIEJA),"Av. San Martín 685, Pueblo Libre 15084, Peru",-12.0730681,-77.0616617,ROOFTOP
MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE PIURA,PE-RUC  20530099645,PERU PIURA CALLE LIMA CON AYACUCHO SN,"Ayacucho & Calle Lima, Piura 20001, Peru",-5.197702,-80.6257693,GEOMETRIC_CENTER
MUNICIPALIDAD PROVINCIAL DE MARISCAL CACERES - JUANJUI,PE-RUC  20178680049,PERU SAN MARTIN JR. MIGUEL GRAU Nº 337,"Calle Almte. Miguel Grau 337, Las Lomas 20211, Peru",-4.6580219,-80.2425899,RANGE_INTERPOLATED
EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DEL CENTRO SA ELECTROCENTRO S.A.,PE-RUC  20129646099,PERU JUNIN JR. AMAZONAS 641 HUANCAYO JUNIN,"Jr. Amazonas 641, Huancayo 12001, Peru",-12.0800269,-75.2007738,ROOFTOP
MUNICIPALIDAD DISTRITAL LA JOYA,PE-RUC  20167246029,PERU AREQUIPA JR.DOS DE MAYO Nº 501- LA JOYA,"Jr.2 De Mayo 501, Arequipa 04014, Peru",-16.3790695,-71.5737491,RANGE_INTERPOLATED
INSTITUTO PERUANO DEL DEPORTE,PE-RUC  20135897044,PERU LIMA ESTADIO NACIONAL PUERTA 29 URB. SANTA BEATRIZ,"Puente Estadio Nacional, Lima, Peru",-12.0690021,-77.0320015,GEOMETRIC_CENTER
