Entidad,RUC,original_address,formatted_address,lat,lng,confidence
MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR,PE-RUC  20131376848,PERU LIMA AV.BRASIL Nº3501,"Av. Brasil, Lima, Peru",-12.0786573,-77.056852,GEOMETRIC_CENTER
SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AREQUIPA,PE-RUC  20100211034,PERU AREQUIPA VIRGEN DEL PILAR N° 1701,"Av. Virgen del Pilar 1701, Arequipa 04002, Peru",-16.4111184,-71.5333802,ROOFTOP
GOBIERNO REGIONAL DE HUANCAVELICA GERENCIA SUB REGIONAL ACOBAMBA,PE-RUC  20486988836,PERU HUANCAVELICA AV. SAN MARTIN S N ACOBAMBA - HUANCAVELICA,"San Martín, Acobamba 09381, Peru",-12.841787,-74.5697539,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE LARAOS - YAUYOS,PE-RUC  20190173039,PERU LIMA PLAZUELA DE LA INDEPENDENCIA Nº2 INT.1,"Lima, Peru",-12.0466888,-77.04308859999999,APPROXIMATE
UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,PE-RUC  20147897406,PERU LIMA AV. LA MOLINA S/N,"Av. la Molina, Lima, Peru",-12.085302,-76.9187612,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE LA LIBERTAD - U.E. 403-SALUD TRUJILLO-SUR OESTE,PE-RUC  20228257479,PERU LA LIBERTAD BOLIVAR 350 TRUJILLO,"Trujillo, Peru",-8.1157846,-79.0257381,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE PARACAS,PE-RUC  20162427301,PERU ICA AV. LOS LIBERTADORES S/N EL GOLF - CLUB - PARACAS,"Av. Los Libertadores, Paracas 11550, Peru",-13.8416948,-76.2520427,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE ITUATA,PE-RUC  20185850570,PERU PUNO PLAZA DE ARMAS S/N,"Plaza Mayor de Puno, Jr. Deustua 458, Puno 21001, Peru",-15.8405816,-70.0279072,ROOFTOP
MUNICIPALIDAD DISTRITAL DE MOROCOCHA,PE-RUC  20146501487,PERU JUNIN PLAZA PRINCIPAL SN NUEVA CIUDAD CARHUACOTO,"Junín, Peru",-11.1581925,-75.9926306,APPROXIMATE
PLAN COPESCO NACIONAL - MINCETUR,PE-RUC  20511035997,PERU LIMA AV GALVEZ BARRENECHEA 290 SAN ISIDRO,"Av. José Gálvez Barrenechea 290, San Isidro 15036, Peru",-12.0939245,-77.0136692,ROOFTOP
MUNICIPALIDAD PROVINCIAL DE SANTIAGO DE CHUCO,PE-RUC  20187630101,PERU LA LIBERTAD PACO YUNQUE No 735 2DO PISO,Peru,-9.189967,-75.015152,APPROXIMATE
MINISTERIO DE ECONOMIA Y FINANZAS,PE-RUC  20131370645,PERU LIMA Jr.Junín N° 319 - Lima,"Jr. Junín 319, Lima 15001, Peru",-12.0463008,-77.0283383,ROOFTOP
SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO,PE-RUC  20479801275,PERU LAMBAYEQUE AV. BALTA Nº 820,"Av. José Balta 820, Chiclayo 14001, Peru",-6.7711255,-79.83829,ROOFTOP
