Entidad,RUC,original_address,formatted_address,lat,lng,confidence
MUNICIPALIDAD DISTRITAL DE MARMOT,PE-RUC  20217925194,PERU LA LIBERTAD MENDELEVIO NO 414,"414, Chachapoyas 01001, Peru",-6.2378526,-77.86196319999999,APPROXIMATE
GOBIERNO REGIONAL DE JUNIN - UNIDAD TERRITORIAL DE SALUD JAUJA,PE-RUC  20156176240,PERU JUNIN JR. SAN MARTIN 1153 JAUJA,"Jr. San Martin 1153, Jauja 12601, Peru",-11.7771595,-75.49676269999999,ROOFTOP
MUNICIPALIDAD DISTRITAL DE SINSICAP,PE-RUC  20205876791,PERU LA LIBERTAD CAL. GRAU NRO. S/N PLAZA DE ARMAS LA LIBERTAD - OTUZCO - SINSICAP,"Plaza de Armas de Otuzco, Cáceres 692, Otuzco 13201, Peru",-7.902518100000001,-78.5656536,ROOFTOP
MUNICIPALIDAD DISTRITAL ALEXANDER VON HUMBOLDT,PE-RUC  20393108488,PERU UCAYALI FEDERICO BASADRE KM 86,"Ctra. Federico Basadre, Peru",-8.4703134,-74.7996019,GEOMETRIC_CENTER
ZONA REGISTRAL N° IV SEDE IQUITOS,PE-RUC  20114050530,PERU LORETO JR. ARICA Nº 564 - IQUITOS,"Arica 564, Iquitos 16001, Peru",-3.7531239,-73.24722659999999,ROOFTOP
MUNICIPALIDAD DISTRITAL DE YACUS,PE-RUC  20529085401,PERU HUANUCO JR. LA UNION MZA. B LOTE. H C.P. YACUS HUANUCO - HUANUCO - MARGOS,"C.p Yacus, 10520, Peru",-9.9845507,-76.50474249999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE MOLLEBAMBA,PE-RUC  20314566816,PERU LA LIBERTAD NESTOR GARCIA S/N 2DO PISO,Peru,-9.189967,-75.015152,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE PACCARITAMBO,PE-RUC  20195435791,PERU CUSCO PLAZA DE ARMAS S/N,"Plaza de Armas de Cusco, Del Medio 123, Cusco 08000, Peru",-13.5167681,-71.9787795,ROOFTOP
EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE PISCO,PE-RUC  20162483715,PERU ICA FERMIN TANGUIS S/N R-1,"C. Prol. Fermin Tanguis, Ica, Peru",-14.0655882,-75.7365696,GEOMETRIC_CENTER
JEFATURA DE LA VII RPNP-LIMA,PE-RUC  20383430250,PERU LIMA AV. ESPAÑA N° 450 - CERCADO,"Av. España 450, Breña 15082, Peru",-12.058086,-77.0418746,RANGE_INTERPOLATED
UNIVERSIDAD NACIONAL AMAZONICA DE MADRE DE DIOS,PE-RUC  20526917295,PERU MADRE DE DIOS AV. 02 DE MAYO Nº 960,"Jirón Dos de Mayo 960, Moyobamba 22001, Peru",-6.028269,-76.9794063,RANGE_INTERPOLATED
GOBIERNO REGIONAL DE UCAYALI - GERENCIA SUB REGIONAL DE PADRE ABAD AGUAYTIA,PE-RUC  20351711770,PERU UCAYALI CARRETERA FEDERICO BASADRE 163 PADRE ABAD PADRE ABAD UCAYALI,"Carr. Federico Basadre 163, Aguaytia 25551, Peru",-9.038892599999999,-75.50758789999999,RANGE_INTERPOLATED
MUNICIPALIDAD PROVINCIAL DE CALCA,PE-RUC  20156074242,PERU CUSCO PLAZA DE ARMAS S/N CALCA,"Calca, Peru",-13.324084,-71.9549533,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE YAULI - HUANCAVELICA,PE-RUC  20183984196,PERU HUANCAVELICA PLAZA PRINCIPAL S/N  YAULI,"Yauli 09301, Peru",-12.771245,-74.8514441,APPROXIMATE
INPE-DIRECCION REGIONAL NORTE CHICLAYO,PE-RUC  20353982878,PERU LAMBAYEQUE JR. MANCO CÁPAC CHICLAYO,"Manco Cápac, Chiclayo 14001, Peru",-6.7700624,-79.8352294,GEOMETRIC_CENTER
AGENCIA DE PROMOCION DE LA INVERSION PRIVADA - PROINVERSION,PE-RUC  20380799643,PERU LIMA AV. PASEO DE LA REPUBLICA 3361 SAN ISIDRO,"Av. P.º de la República 3361, San Isidro 15047, Peru",-12.0973078,-77.0246686,ROOFTOP
MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE AREQUIPA,PE-RUC  20456318429,PERU AREQUIPA CAL. LA MERCED NRO. 402 AREQUIPA - AREQUIPA - AREQUIPA,"C. la Merced 402, Arequipa 04001, Peru",-16.4026189,-71.5388737,ROOFTOP
MUNICIPALIDAD DISTRITAL DE PUEBLO NUEVO - FERRENAFE,PE-RUC  20182126412,PERU LAMBAYEQUE CALLE CASIMIRO CHUMAN NO 517 - PUEBLO NUEVO,"Chuman 517, Ferreñafe 14311, Peru",-6.6400465,-79.7962379,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE URACA - CORIRE,PE-RUC  20199641167,PERU AREQUIPA PLAZA 28 DE JULIO NO 215,"28 de Julio 215, Arequipa 04014, Peru",-16.3754346,-71.5608377,RANGE_INTERPOLATED
