Entidad,RUC,original_address,formatted_address,lat,lng,confidence
SERVICIO DE ADMINISTRACION TRIBUTARIA DEL DISTRITO DE SAN MARTIN DE PORRES,PE-RUC  20601710740,PERU LIMA ALFREDO MENDIOLA,"Av. Alfredo Mendiola, Lima, Peru",-11.9745209,-77.0660514,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE LORETO-EDUCACIÓN MARISCAL RAMÓN CASTILLA,PE-RUC  20493197461,PERU LORETO CALLE LEONCIO PRADO SN PLAZA DE ARMAS COCHA,"Loreto, Peru",-4.232472899999999,-74.21793260000001,APPROXIMATE
GOBIERNO REGIONAL DE ANCASH - UNIDAD DE GESTION EDUCATIVA LOCAL DE OCROS,PE-RUC  20571435927,PERU ANCASH JR ATAHUALPA SN,"Jr. Atahualpa, Nuevo Chimbote, Peru",-9.1523663,-78.4988045,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE AYACUCHO - EDUCACION SUR PAUZA,PE-RUC  20452720796,PERU AYACUCHO AV. APOSTOL SANTIAGO NRO 685,"Av. Apostol Santiago 685, Pausa 05640, Peru",-15.2782185,-73.3446154,RANGE_INTERPOLATED
FONDO DE VIVIENDA DE LA POLICIA NACIONAL DEL PERU,PE-RUC  20153016608,PERU LIMA JR. CHIRA NRO 490,"Jr. Chira 490, Lima 15093, Peru",-12.0359212,-77.0342005,ROOFTOP
ORGANISMO ESPECIAL DEL FONDO MI VIVIENDA MILITAR DEL EJÉRCITO,PE-RUC  20507180265,PERU LIMA AV. BOULEVARD LIMA,"Av. Boulevard, Ate 15023, Peru",-12.0647638,-76.9680314,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 11 - CAJATAMBO,PE-RUC  20320710660,PERU LIMA JR. 28 DE JULIO CAJATAMBO,"3X56+5F9, Av. Belaunde Este, Comas 15327, Peru",-11.9420753,-77.0387561,GEOMETRIC_CENTER
INSTITUTO VIAL PROVINCIAL DE VILCAS HUAMAN,PE-RUC  20452806755,PERU AYACUCHO PLAZA INCA PACHACUTEC,"Ayacucho, Peru",-13.1638737,-74.22356409999999,APPROXIMATE
UNIDAD EJECUTORA 009 - PROGRESA - MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL,PE-RUC  20603978162,PERU LIMA CALE SHELL N 310,"Lima, Peru",-12.0466888,-77.04308859999999,APPROXIMATE
GOBIERNO REGIONAL DE LAMBAYEQUE - AUTORIDAD PORTUARIA REGIONAL DE LAMBAYEQUE,PE-RUC  20539182987,PERU LAMBAYEQUE CALLE AREQUIPA NRO 124,"Arequipa, Chiclayo, Peru",-6.773568,-79.8559281,GEOMETRIC_CENTER
