Entidad,RUC,original_address,formatted_address,lat,lng,confidence
GOBIERNO REGIONAL DE CAJAMARCA - GERENCIA SUB REGIONAL CHOTA,PE-RUC  20368999726,PERU CAJAMARCA JR. CORONEL  BECERRA  248 CHOTA,"Coronel Becerra 248, Chota 06121, Peru",-6.5622322,-78.6489867,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE SANTA ANITA,PE-RUC  20131369043,PERU LIMA AV. LOS EUCALIPTOS CDRA 12 S/N,"Av. Los Eucaliptos, Santa Anita 15008, Peru",-12.0455602,-76.9756142,GEOMETRIC_CENTER
MUNICIPALIDAD PROVINCIAL DE LEONCIO PRADO - RUPA RUPA,PE-RUC  20200042744,PERU HUANUCO AV.  ALAMEDA PERU NO 525,"Av. Alameda Perú 525, Huánuco 10131, Peru",-9.2980172,-76.0005757,ROOFTOP
MUNICIPALIDAD DISTRITAL DE NAMORA,PE-RUC  20176207389,PERU CAJAMARCA JR. LIBERTAD N§105 - 107,"Jirón Libertad 105, 06004, Peru",-7.1488839,-78.4609751,RANGE_INTERPOLATED
CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PE-RUC  20520594451,PERU LIMA AVENIDA CANAVAL Y MOREYRA NRO 480 OFICINA 1201,"OFICINA 1201, Av. Canaval y Moreyra 480, San Isidro 15047, Peru",-12.0975774,-77.020775,ROOFTOP
MUNICIPALIDAD DISTRITAL DE INDIANA,PE-RUC  20178698843,PERU LORETO CAIDO FRANCO 2DO PISO MZ.A LOTE1,"Loreto, Peru",-4.232472899999999,-74.21793260000001,APPROXIMATE
GOBIERNO REGIONAL DE ICA - RED DE SALUD ICA,PE-RUC  20452726999,PERU ICA Vacio/Nulo,"Ica, Peru",-14.07546,-75.7341811,APPROXIMATE
MUNICIPALIDAD PROVINCIAL DE LAMAS,PE-RUC  20162983793,PERU SAN MARTIN JR. ZOSIMO RIVAS Nº282,Peru,-9.189967,-75.015152,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE JESUS MARIA,PE-RUC  20131366290,PERU LIMA AV. MAREATEGUI Nº 850,"Av. Francisco Javier Mariátegui 850, Jesús María 15072, Peru",-12.0766914,-77.0439561,ROOFTOP
MUNICIPALIDAD DISTRITAL DE CATAC,PE-RUC  20175283944,PERU ANCASH JR. 8 DE ENERO NO 361 2DO PISO,"Ancash, Peru",-9.3250497,-77.5619419,APPROXIMATE
