Entidad,RUC,original_address,formatted_address,lat,lng,confidence
MUNICIPALIDAD DISTRITAL DE CAPILLAS,PE-RUC  20191164173,PERU HUANCAVELICA PLAZA DE ARMAS S/N CAPILLAS CASTROVIRREYNA HUANCAVELICA,"Capillas, 09710, Peru",-13.3355697,-75.5975296,APPROXIMATE
CORTE SUPERIOR DE JUSTICIA DE PUNO,PE-RUC  20448626114,PERU PUNO JR. PUNO NRO. 459 CERCADO PUNO - PUNO - PUNO,"Puno, Peru",-15.8402218,-70.0218805,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS,PE-RUC  20162338545,PERU AREQUIPA AV.AUGUSTO GILARDI,"Salaverry, Paucarpata 04007, Peru",-16.4130923,-71.5015438,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE DANIEL HERNANDEZ,PE-RUC  20208070836,PERU HUANCAVELICA AV.PERU NO 190.2DO PISO,"Av Perú, Daniel Hernández, Peru",-12.3889985,-74.8588164,GEOMETRIC_CENTER
GOBIERNO REGIONAL DEL CUSCO UNIDAD EJECUTORA 411: SALUD CHUMBIVILCAS,PE-RUC  20602114075,PERU CUSCO VELASCO ASTETE SIN NRO,"Velasco Astete, Cusco 08006, Peru",-13.5444703,-71.8852132,GEOMETRIC_CENTER
INSTITUTO GEOGRAFICO NACIONAL,PE-RUC  20301053623,PERU LIMA AV. ARAMBURU Nº 1198 - SURQUILLO,"Av. Andrés Aramburú 1198, Lima 15036, Peru",-12.1024411,-77.01658359999999,ROOFTOP
GOBIERNO REGIONAL DE SAN MARTIN - UNIDAD DE GESTION EDUCATIVA LOCAL BELLAVISTA,PE-RUC  20178679032,PERU SAN MARTIN LORETO CON JR SAN MARTIN SN,Peru,-9.189967,-75.015152,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SOROCHUCO,PE-RUC  20211874296,PERU CAJAMARCA JR. AMAZONAS S/N,"Jr.Amazonas, Cajamarca, Peru",-7.1565663,-78.5161565,GEOMETRIC_CENTER
ZONA ESPECIAL DE DESARROLLO ILO - ZED ILO,PE-RUC  20520000411,PERU MOQUEGUA COSTANERA KM. 7.6  PAMPA DE PALO S/N,"Moquegua, Peru",-17.1882694,-70.93179500000001,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SUPE PUERTO,PE-RUC  20171659257,PERU LIMA CALLE TRUJILLO Nº163,"Trujillo, San Juan de Miraflores, Peru",-12.1377314,-76.9615203,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SARA SARA,PE-RUC  20194058935,PERU AYACUCHO PLAZA PRINCIPAL JR. HUAMANGA,"Plaza de Armas of Ayacucho, Andahuaylas 05003, Peru",-13.1603573,-74.2258109,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE LORETO UNIDAD EJECUTORA SALUD UCAYALI - CONTAMANA,PE-RUC  20601938058,PERU LORETO BUENAVENTURA MARQUEZ,"Jiron Buenaventura Márquez, Contamana 16480, Peru",-7.3482411,-75.007536,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE SAN MARTIN - UNIDAD DE GESTION EDUCATIVA LOCAL LAMAS,PE-RUC  20542311305,PERU SAN MARTIN JR. FELIPE SAAVEDRA NRO 639,Peru,-9.189967,-75.015152,APPROXIMATE
COLEGIO MAYOR SECUNDARIO PRESIDENTE DEL PERU,PE-RUC  20546369383,PERU LIMA CARRETERA CENTRAL KM 24 S/N HUAMPANI ALTO LIMA - LIMA - CHACLACAYO,"Ctra. Central Km 24.5, Lurigancho-Chosica 15464, Peru",-11.9732836,-76.7710475,ROOFTOP
MUNICIPALIDAD DISTRITAL DE HUATA - HUAYLAS,PE-RUC  20146926143,PERU ANCASH C.PLAZA LA LIBERTAD S/N,"C, Cajamarquilla 02603, Peru",-9.632653099999999,-77.7434869,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE AGUAS VERDES,PE-RUC  20172278079,PERU TUMBES AV. REPUBLICA DEL PERU Nº339,"Av. República del Perú, 24101",-3.481672,-80.2452672,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE LA LIBERTAD-EDUCACION USE OTUZCO,PE-RUC  20397492037,PERU LA LIBERTAD CALLE BOLIVAR N° 767 - OTUZCO,"Simón Bolívar 767, Otuzco 13201, Peru",-7.903524999999999,-78.5666152,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE RICARDO PALMA,PE-RUC  20184353904,PERU LIMA PARQUE ANGEL BARACCO S/N,"Lima, Peru",-12.0466888,-77.04308859999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE LA PAMPA,PE-RUC  20175203185,PERU ANCASH AV.ALFONSO RIVASPLATA No 305,"Ancash, Peru",-9.3250497,-77.5619419,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PISCHA,PE-RUC  20166868328,PERU AYACUCHO PLAZA PRINCIPAL SAN PEDRO,"San Pedro 05510, Peru",-14.77248,-74.098793,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE MONOBAMBA,PE-RUC  20229755871,PERU JUNIN PLAZA PRINCIPAL NO 3 3ER PISO,"3MJP+JR2 Plaza Principal De Concepción, 755, Concepción 12126, Peru",-11.9184824,-75.3129751,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE AREQUIPA - DIRECCIÓN REGIONAL DE EDUCACION,PE-RUC  20190572081,PERU AREQUIPA RONDA RECOLETA S/N,"Ronda Recoleta, Arequipa 04013, Peru",-16.3934848,-71.5439487,GEOMETRIC_CENTER
MUNICIPALIDAD PROVINCIAL DE CONCEPCION,PE-RUC  20187806667,PERU JUNIN AV.MARISCAL CACERES 329 2DO PISO,"2DO PISO, Av. Mariscal Caceres 329, Concepción 12126, Peru",-11.9190508,-75.3125142,ROOFTOP
MUNICIPALIDAD DISTRITAL DE SAPUENA,PE-RUC  20175981471,PERU LORETO PLAZA DE ARMAS,"Iquitos Square, Jirón Putumayo 253, Iquitos 16002, Peru",-3.749314999999999,-73.24443939999999,ROOFTOP
GOBIERNO REGIONAL DE TACNA - UNIDAD DE GESTION EDUCATIVA LOCAL DE TACNA,PE-RUC  20533025057,PERU TACNA CALLE ATAHUALPA 205,"Atahualpa 205, Tacna 23001, Peru",-17.9997296,-70.23927370000001,ROOFTOP
MUNICIPALIDAD DISTRITAL DE CHICLA,PE-RUC  20174879495,PERU LIMA JR. MARISCAL CACERES NRO 220,"Av. Mariscal Andres Avelino Caceres 220, Lima 15003, Peru",-12.0555485,-77.00581129999999,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE JUAN GUERRA,PE-RUC  20148157597,PERU SAN MARTIN JR. AREQUIPA Nº981,"Arequipa, Peru",-16.4057001,-71.5400994,APPROXIMATE
