Entidad,RUC,original_address,formatted_address,lat,lng,confidence
GOBIERNO REGIONAL DE AYACUCHO-EDUCACION,PE-RUC  20365213179,PERU AYACUCHO JR. 28 DE JULIO NO 383 AYACUCHO,"28 de Julio 383, Ayacucho 05001, Peru",-13.1642213,-74.2272258,ROOFTOP
MUNICIPALIDAD DISTRITAL DE OROPESA - ANTABAMBA,PE-RUC  20203837632,PERU APURIMAC PLAZA DE ARMAS S/N OROPESA ANTABAMBA APURIMAC,"Pueb Oropesa, Totora 03340, Peru",-14.2620543,-72.56115009999999,APPROXIMATE
UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA,PE-RUC  20564325741,PERU CUSCO EL ARENAL,"Cusco, Peru",-13.9371775,-71.5723953,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE POCOLLAY,PE-RUC  20147796987,PERU TACNA AV. HERMANOS REYNOSO Nº15,"C. Hermanos Reynoso, Tacna, Peru",-17.9975069,-70.2156181,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE LOS OLIVOS (LAS PALMERAS),PE-RUC  20131368667,PERU LIMA AV. CARLOS IZAGUIRRE N.- 813 URB. MERCURIO - LOS OLIVOS,"Av. Carlos Izaguirre 813, Los Olivos 15301, Peru",-11.991564,-77.0707092,ROOFTOP
MUNICIPALIDAD DISTRITAL DE YAUYOS,PE-RUC  20180415379,PERU JUNIN JR. 20 DE ENERO Nº 112,"Jr. 20 de Enero 112, Jauja 12601, Peru",-11.7809907,-75.49987159999999,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE PICHACANI,PE-RUC  20169024112,PERU PUNO JR. TUPAC AMARU Nª 464,"Tupac Amaru, Puno 21001, Peru",-15.8422214,-70.0192557,GEOMETRIC_CENTER
EMPRESA DE SERVICIO MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO DE BARRANCA S.A.,PE-RUC  20199160819,PERU LIMA JR. GÁLVEZ N° 640,"Jr. José Gálvez 640, Lima 15046, Peru",-12.0731694,-77.0309462,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE PARAS,PE-RUC  20193164677,PERU AYACUCHO JR-PROGRESO PLAZA PRINCIPAL,"Jr. Progreso, Ayacucho 05002, Peru",-13.1745897,-74.2238036,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE ZAÑA,PE-RUC  20185129129,PERU LAMBAYEQUE CALLE REAL Nº450,"Lambayeque, Peru",-6.7044468,-79.9042472,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE KELLUYO,PE-RUC  20165191464,PERU PUNO PLAZA DE ARMAS S/N,"Plaza Mayor de Puno, Jr. Deustua 458, Puno 21001, Peru",-15.8405816,-70.0279072,ROOFTOP
GOBIERNO REGIONAL DE UCAYALI - UNIDAD DE GESTION EDUCATIVA LOCAL ATALAYA,PE-RUC  20393919290,PERU UCAYALI JR URUBAMBA SN,"Urubamba, Pucallpa 25004, Peru",-8.3784833,-74.5589868,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE CAYARANI,PE-RUC  20272619574,PERU AREQUIPA PLAZA PRINCIPAL S/N,"Pl. Principal, Characato 04012, Peru",-16.469155,-71.4844938,GEOMETRIC_CENTER
MUNICIPALIDAD PROVINCIAL DE HUANCA SANCOS - SANCOS,PE-RUC  20223028765,PERU AYACUCHO PLAZA PRINCIPAL S/N HUANCA SANCOS,"Huanca Sancos 05710, Peru",-13.9202424,-74.3345526,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SOCOS,PE-RUC  20190606164,PERU AYACUCHO PLAZA PRINCIPAL S/N - SOCOS,"Ayacucho, Peru",-13.1638737,-74.22356409999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE CHILCA - CANETE,PE-RUC  20171719179,PERU LIMA AV. MARIANO IGNACIO PRADO NO 496,"Av Mariano Ignacio Prado 496, Comas 15327, Peru",-11.9373116,-77.04274,ROOFTOP
MUNICIPALIDAD DISTRITAL DE JAYANCA,PE-RUC  20141785037,PERU LAMBAYEQUE CALLE BOLOGNESI Nº101 - JAYANCA,"Bolognesi, Jayanca 14150, Peru",-6.3927902,-79.8226102,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE PAUCAS,PE-RUC  20195406937,PERU ANCASH PLAZA DE ARMAS S/N,"Ancash, Peru",-9.3250497,-77.5619419,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE CHAMACA,PE-RUC  20172494952,PERU CUSCO CALLE PROGRESO,"C. Progreso, Cusco 08002, Peru",-13.5271335,-71.9613439,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE RIMAC,PE-RUC  20131366613,PERU LIMA PARQUE NICOLINI S/N,"Parque Nicolini, entre las calles: Los Mochicas y Los Chasquis, Jr. Los Chasquis 6, Lima 15401, Peru",-12.0252338,-77.0038162,GEOMETRIC_CENTER
PROGRAMA DE PENSIÓN NO CONTRIBUTIVA A PERSONAS CON DISCAPACIDAD SEVERA EN SITUACIÓN DE POBREZA,PE-RUC  20605733281,PERU LIMA AV. FAUSTINO SANCHEZ CARRION NRO. 417,"Av. Faustino Sánchez Carrión 417, San Isidro 15076, Peru",-12.0924446,-77.0546024,ROOFTOP
MUNICIPALIDAD DISTRITAL DE SANTO TOMAS - LUYA,PE-RUC  20183970055,PERU AMAZONAS JR.SAN MARTIN,"Jr. San Martin, 01150, Peru",-5.8243647,-77.9691851,GEOMETRIC_CENTER
MUNICIPALIDAD PROVINCIAL DE PARINACOCHAS - CORACORA,PE-RUC  20182177670,PERU AYACUCHO PLAZA DE ARMAS DE CORACORA,"Ayacucho, Peru",-13.1638737,-74.22356409999999,APPROXIMATE
MTC - AUTORIDAD PORTUARIA NACIONAL,PE-RUC  20509645150,PERU CALLAO AV. SANTA ROSA Nº 135-LA PERLA-CALLAO,"Av. Sta. Rosa 135, La Perla 07011, Peru",-12.0663996,-77.1194962,ROOFTOP
INSTITUTO VIAL PROVINCIAL MUNICIPAL DE PACHITEA,PE-RUC  20489588341,PERU HUANUCO JR. LIMA N° 104-SEGUNDO NIVEL-PANAO-PACHITEA-HUANUCO,"Jr. Lima, Panao 10220, Peru",-9.8969734,-75.9923587,GEOMETRIC_CENTER
ZONA REGISTRAL N° VI SEDE PUCALLPA,PE-RUC  20192055416,PERU UCAYALI JR. PROGRESO 150 CALLERIA - PUCALLPA,"Calleria 150, Pucallpa 25004, Peru",-8.3543594,-74.58071629999999,ROOFTOP
MUNICIPALIDAD DISTRITAL DE MANSERICHE,PE-RUC  20176689359,PERU LORETO CALLE PROGRESO SN VILLA SARAMIRIZA LORETO,"Sarameriza, Porvenir, Peru",-4.565471899999999,-77.41712369999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SIVIA,PE-RUC  20166888353,PERU AYACUCHO PLAZA PRINCIPAL S/N SIVIA,"Plaza de Armas of Ayacucho, Andahuaylas 05003, Peru",-13.1603573,-74.2258109,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE CHUGAY,PE-RUC  20205367994,PERU LA LIBERTAD AV .HUAMACHUCO S/N-PLAZA DE ARMAS CHUGAY,"10C, Chugay 13331, Peru",-7.7819992,-77.867238,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE CHOROPAMPA,PE-RUC  20232633604,PERU CAJAMARCA JIRON AVIACION S/N PLAZA DE ARMAS,"Jirón Aviación, 06004, Peru",-7.1484007,-78.453208,GEOMETRIC_CENTER
MUNICIPALIDAD PROVINCIAL DE PAUCAR DEL SARA SARA - PAUSA,PE-RUC  20194058854,PERU AYACUCHO JR MIGUEL CERVANTES SAAVEDRA NO 455,"Ayacucho, Peru",-13.1638737,-74.22356409999999,APPROXIMATE
GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 09,PE-RUC  20175071173,PERU LIMA JR. JUAN B. ROSADIO Nº 193,"Lima, Peru",-12.0466888,-77.04308859999999,APPROXIMATE
GOBIERNO REGIONAL CUSCO UNIDAD DE GESTION EDUCATIVA LOCAL CUSCO,PE-RUC  20564490271,PERU CUSCO CAMINO REAL,"Cam. Real, Cusco, Peru",-13.5272573,-71.9426858,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE CAJAMARCA-TRANSPORTES,PE-RUC  20369027957,PERU CAJAMARCA JR.  TARAPACA 652 CAJAMARCA,"Jr. Tarapacá 652, Cajamarca 06001, Peru",-7.156314699999999,-78.5201586,ROOFTOP
MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE LA LIBERTAD,PE-RUC  20539961919,PERU LA LIBERTAD AV. JESUS DE NAZARETH CDRA 4 S/N  URB. SAN NICOLAS LA LIBERTAD - TRUJILLO - TRUJILLO,"Av. Jesús de Nazareth, Trujillo, Peru",-8.110989,-79.036556,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE PIURA-HOSPITAL DE APOYO III SULLANA,PE-RUC  20356828055,PERU PIURA AV. SANTA ROSA  S/N SULLANA,"Av Sta Rosa, Sullana, Peru",-4.8957207,-80.6939993,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE CAHUAPANAS,PE-RUC  20191636369,PERU LORETO PLAZA DE ARMAS S/N,"Loreto, Peru",-4.232472899999999,-74.21793260000001,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE AYNA SAN FRANCISCO,PE-RUC  20143159001,PERU AYACUCHO AV.28 DE JULIO No 10 2DO PISO,"Ayacucho, Peru",-13.1638737,-74.22356409999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE MUQUI,PE-RUC  20201784183,PERU JUNIN PLAZA PRINCIPAL,"Junín, Peru",-11.1581925,-75.9926306,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE BELEN - MAYNAS,PE-RUC  20451440544,PERU LORETO CALLE MIRAFLORES S/N - 9 DE OCTUBRE,"Calle Miraflores, Tamshiyacu 16310, Peru",-4.0020655,-73.1582209,GEOMETRIC_CENTER
INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS - INCN,PE-RUC  20131380012,PERU LIMA JR. ANCASH 1271 LIMA,"Jr. Áncash 1271, Lima 15003, Peru",-12.0461602,-77.01590019999999,ROOFTOP
MUNICIPALIDAD PROVINCIAL DE BARRANCA,PE-RUC  20142701597,PERU LIMA JR. ZAVALA Nº500,"JR, San Miguel 15087, Peru",-12.0788083,-77.1022205,APPROXIMATE
GOBIERNO REGIONAL DE CAJAMARCA - UNIDAD DE GESTION EDUCATIVA LOCAL BAMBAMARCA,PE-RUC  20491573636,PERU CAJAMARCA CAL. COMANDANTE ESPINAR NRO. 350 CAJAMARCA - HUALGAYOC - BAMBAMARCA,"Jr. CDT E. Espinar, Bambamarca 06116, Peru",-6.6794259,-78.5177289,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE ANDARAY,PE-RUC  20197493632,PERU AREQUIPA PLAZA DE ARMAS,"Pl. de Armas, Arequipa 04001, Peru",-16.3992342,-71.5370862,GEOMETRIC_CENTER
GOBIERNO LOCAL DISTRITAL DE MARCARA,PE-RUC  20172265929,PERU ANCASH PLAZA DE ARMAS S/N - MARCARA,"M9HW+2J7, Marcará 02110, Peru",-9.3225819,-77.6038887,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE HUAYLLABAMBA - URUBAMBA,PE-RUC  20159377696,PERU CUSCO PLAZA DE ARMAS,"Plaza de Armas de Cusco, Del Medio 123, Cusco 08000, Peru",-13.5167681,-71.9787795,ROOFTOP
MUNICIPALIDAD DISTRITAL DE CUPI,PE-RUC  20169039225,PERU PUNO PLAZA TUPAC AMARU Nº115,"Tupac Amaru, Puno 21001, Peru",-15.8422214,-70.0192557,GEOMETRIC_CENTER
ESCUELA NACIONAL DE MARINA MERCANTE,PE-RUC  20131379430,PERU CALLAO AV. PROGRESO Nº 632 CHUCUITO CALLAO,"Av. Progreso, Peru",-16.2227541,-72.4706175,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE HUACCANA,PE-RUC  20156963896,PERU APURIMAC AV.HUACCANA NO 150,"Huaccana, 03880, Peru",-13.3101039,-73.7242486,APPROXIMATE
GOBIERNO REGIONAL DE TUMBES - DIRECCION REGIONAL SALUD TUMBES,PE-RUC  20171001065,"PERU TUMBES AV. FRANCISCO BELAUNDE TERRY, URB. JOSÉ LISHNER TUDELA TUMBES","CH83+98G, Tumbes 24001, Peru",-3.5840695,-80.4466582,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE HUACHOS,PE-RUC  20207341089,PERU HUANCAVELICA PLAZA DE ARMAS Nº5 2DO PISO,"Huancavelica 09001, Peru",-12.7861978,-74.9764024,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE MONTERO,PE-RUC  20168891998,PERU PIURA JR.  ERNESTO MERINO Nº 152,"Merino 152, Piura 20001, Peru",-5.1940141,-80.6333202,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE QUINJALCA,PE-RUC  20165779283,PERU AMAZONAS SANTA ROSA,"Santa Rosa, 01360, Peru",-6.453999899999999,-77.4587239,APPROXIMATE
